# TOPAS Version: 3.7
# Parameter File: TestingDose9.txt
# Results for scorer TestingDose9_Lung
# Scored in component: Lung
# X in 50 bins of 0.1 cm
# Y in 50 bins of 0.1 cm
# Z in 10 bins of 0.1 cm
# DoseToMedium ( Gy ) : Sum   Standard_Deviation   
0, 0, 0, 3.864201403303014e-09, 6.43555146508429e-13
0, 0, 1, 0, 0
0, 0, 2, 8.036968424107727e-09, 1.510541363756864e-12
0, 0, 3, 1.320887665912096e-08, 2.132824050196936e-12
0, 0, 4, 0, 0
0, 0, 5, 2.256747322348929e-08, 2.577224171123076e-12
0, 0, 6, 4.284970989143488e-10, 1.355026621645343e-13
0, 0, 7, 1.321147014010648e-08, 2.17114704637289e-12
0, 0, 8, 1.411753713931319e-09, 4.464356433737771e-13
0, 0, 9, 1.846835395724611e-08, 5.244599741055203e-12
0, 1, 0, 2.572176693860229e-09, 5.37617394088653e-13
0, 1, 1, 2.613480631907805e-08, 5.085494218098844e-12
0, 1, 2, 7.750368347103631e-09, 1.528680854145998e-12
0, 1, 3, 9.207728801641224e-09, 1.460391537312242e-12
0, 1, 4, 1.461653376111371e-08, 3.559344084404829e-12
0, 1, 5, 1.013339456790163e-08, 2.235982068749525e-12
0, 1, 6, 2.21958118551413e-09, 7.018931276766303e-13
0, 1, 7, 1.457948162197908e-08, 2.350374056919253e-12
0, 1, 8, 4.212747040099885e-09, 1.332187401624023e-12
0, 1, 9, 6.085750570150594e-09, 1.464256640559046e-12
0, 2, 0, 3.772302470395061e-09, 9.188402751342374e-13
0, 2, 1, 3.723258501509008e-08, 5.928537440884716e-12
0, 2, 2, 5.103243161386217e-09, 9.534833416199984e-13
0, 2, 3, 1.263957205566157e-08, 2.048287011233149e-12
0, 2, 4, 1.340716959674637e-08, 2.126907987529549e-12
0, 2, 5, 1.493203782843011e-09, 3.593119497128441e-13
0, 2, 6, 3.183396435346708e-09, 7.407960717501493e-13
0, 2, 7, 4.613117443597048e-09, 1.286075245717546e-12
0, 2, 8, 9.49595602151021e-09, 1.661682004801077e-12
0, 2, 9, 3.358538558373425e-09, 6.502083448780393e-13
0, 3, 0, 8.149747543484409e-09, 1.554187058933585e-12
0, 3, 1, 1.853789299843811e-08, 5.272818005363294e-12
0, 3, 2, 2.138999199985392e-08, 4.02193891738478e-12
0, 3, 3, 9.874462136849615e-09, 1.591670474917833e-12
0, 3, 4, 9.523868804706126e-09, 1.877173475399132e-12
0, 3, 5, 5.431185279292094e-09, 1.091129531898577e-12
0, 3, 6, 2.529283449348441e-09, 4.764744229227521e-13
0, 3, 7, 6.082554460107303e-09, 1.224361782762378e-12
0, 3, 8, 9.53315648644093e-09, 1.761239480803844e-12
