# TOPAS Version: 3.7
# Parameter File: TestingDose9.txt
# Results for scorer TestingDose9_Water
# Scored in component: Water
# X in 50 bins of 0.1 cm
# Y in 50 bins of 0.1 cm
# Z in 20 bins of 0.1 cm
# DoseToMedium ( Gy ) : Sum   Standard_Deviation   
0, 0, 0, 6.468287017113994e-10, 2.045451723164792e-13
0, 0, 1, 4.009781395808432e-09, 9.168390039765702e-13
0, 0, 2, 1.596288079497299e-08, 3.350835864981574e-12
0, 0, 3, 7.686121961114623e-09, 1.76390411266594e-12
0, 0, 4, 1.52924730656423e-08, 3.674503276511241e-12
0, 0, 5, 2.055392478439444e-08, 2.521286735759564e-12
0, 0, 6, 7.864921158784455e-09, 1.410958338945077e-12
0, 0, 7, 1.46301939452087e-08, 2.145510671974344e-12
0, 0, 8, 8.448004074068649e-09, 1.536276678079042e-12
0, 0, 9, 9.798927891324638e-09, 2.095500730710219e-12
0, 0, 10, 1.114467185203694e-08, 1.78001168560103e-12
0, 0, 11, 9.25912857496769e-09, 1.576381616701954e-12
0, 0, 12, 1.002695615426319e-08, 1.785060537357444e-12
0, 0, 13, 9.013301216498348e-09, 1.340212790894536e-12
0, 0, 14, 6.118020756673559e-09, 1.359689816736265e-12
0, 0, 15, 0, 0
0, 0, 16, 1.895437762300389e-08, 4.347727469716173e-12
0, 0, 17, 1.144537353781061e-08, 1.647927078154391e-12
0, 0, 18, 1.353822920435732e-08, 1.650710557024584e-12
0, 0, 19, 4.046132318080709e-09, 9.589365951567937e-13
0, 1, 0, 1.617797273922861e-08, 3.093276821734321e-12
0, 1, 1, 1.023285811641017e-08, 1.489307350732578e-12
0, 1, 2, 1.729050325138815e-08, 3.393266161541913e-12
0, 1, 3, 2.470661897291393e-09, 5.519755522602164e-13
0, 1, 4, 7.548441871563227e-09, 1.046241341491971e-12
0, 1, 5, 5.719873907850115e-09, 1.092583932781728e-12
0, 1, 6, 6.653671835721298e-09, 1.496351269576037e-12
0, 1, 7, 1.108344416245188e-09, 3.307245784008736e-13
0, 1, 8, 4.36014069293833e-09, 9.072996316140769e-13
0, 1, 9, 1.178247366340202e-08, 1.580155286412372e-12
0, 1, 10, 7.744290542177623e-09, 1.226684849509917e-12
0, 1, 11, 1.167367180698875e-08, 1.969052201376807e-12
0, 1, 12, 4.022826516347777e-09, 8.039117512278047e-13
0, 1, 13, 9.826754521213843e-09, 1.563159729391742e-12
0, 1, 14, 5.867622387967231e-09, 1.297979309052934e-12
0, 1, 15, 6.423335197069946e-09, 1.399513670924906e-12
0, 1, 16, 6.376131178598143e-09, 1.071557719273341e-12
0, 1, 17, 1.371799007721108e-09, 3.093379952121146e-13
0, 1, 18, 3.44261130713619e-09, 7.736136016014067e-13
0, 1, 19, 1.696296325626179e-09, 5.364159101254591e-13
0, 2, 0, 1.427172513501773e-08, 2.182078696200102e-12
0, 2, 1, 9.942046297339857e-09, 1.493517049755374e-12
0, 2, 2, 1.829946505438329e-08, 2.370362773510565e-12
0, 2, 3, 1.694658635642554e-08, 2.343158127477469e-12
0, 2, 4, 1.6174572792238e-08, 2.382885082559061e-12
0, 2, 5, 5.876310105179527e-09, 9.789911357120363e-13
0, 2, 6, 3.513741519967084e-09, 1.044269699094262e-12
0, 2, 7, 1.00866444086023e-08, 1.653370994081294e-12
0, 2, 8, 2.748765437488032e-09, 6.268238623416716e-13
0, 2, 9, 1.01286996567751e-08, 1.756204835311782e-12
0, 2, 10, 0, 0
0, 2, 11, 1.703472740643974e-08, 2.118418520865641e-12
0, 2, 12, 1.433781204873696e-09, 4.534013674874117e-13
0, 2, 13, 4.263676967042329e-09, 8.898384599645575e-13
0, 2, 14, 5.631827448837612e-09, 1.069464517355131e-12
0, 2, 15, 1.249118852797437e-08, 1.897816418120646e-12
0, 2, 16, 7.873708796068968e-09, 1.471446167146462e-12
0, 2, 17, 1.790779968757761e-08, 4.164976047355815e-12
0, 2, 18, 1.232721480448618e-08, 1.751825405787857e-12
0, 2, 19, 5.198419916752073e-09, 1.186338072970758e-12
0, 3, 0, 3.523977110120313e-09, 7.630891216074863e-13
0, 3, 1, 1.862019161080752e-08, 4.035059503557771e-12
0, 3, 2, 1.646518299480704e-08, 2.031641850377746e-12
0, 3, 3, 7.655047262744574e-09, 1.566421230261669e-12
0, 3, 4, 3.525046921026842e-09, 6.019747641360825e-13
0, 3, 5, 3.927086655863832e-09, 6.978800663799472e-13
0, 3, 6, 9.455219940335269e-10, 2.990002467038932e-13
0, 3, 7, 2.77262879322393e-09, 6.350635092069864e-13
0, 3, 8, 4.939229025779923e-09, 7.683455048914409e-13
0, 3, 9, 8.021316943995771e-09, 1.436338814259429e-12
0, 3, 10, 7.148348024621498e-10, 2.260505860984996e-13
0, 3, 11, 1.156000095647869e-08, 1.807083160734002e-12
0, 3, 12, 5.1114974475297e-09, 1.069441630985285e-12
0, 3, 13, 3.933523284871399e-09, 7.296469033136509e-13
0, 3, 14, 8.984256893995735e-09, 1.389704105466903e-12
0, 3, 15, 1.143358385746751e-08, 1.62566537880909e-12
0, 3, 16, 1.520862191739525e-08, 2.129224673878264e-12
0, 3, 17, 7.300302140578196e-09, 1.115957680745443e-12
0, 3, 18, 1.455764930824444e-08, 2.096468196975674e-12
0, 3, 19, 9.079707652404068e-09, 1.33955872899077e-12
0, 4, 0, 4.059851121951397e-09, 7.332701030446839e-13
0, 4, 1, 9.560472413738808e-09, 1.763088490212361e-12
0, 4, 2, 3.33567395927048e-09, 1.054832538645611e-12
0, 4, 3, 2.01403818067547e-08, 2.243514820563454e-12
